customer_id,customer_code,first_name,last_name,email,segment,preferred_channel,home_region,join_date,age_band,is_churned
33,MC000033,Sofia,Jones,sofia.jones33@example.com,Corporate,In-Store,East,2025-02-06,45-54,False
34,MC000034,Isabella,Williams,isabella.williams34@example.com,Consumer,Online,East,2021-12-02,25-34,False
35,MC000035,Jennifer,Smith,jennifer.smith35@example.com,Consumer,In-Store,West,2020-12-19,35-44,False
36,MC000036,Fatima,Anderson,fatima.anderson36@example.com,Consumer,In-Store,Central,2022-01-25,18-24,False
37,MC000037,Sofia,Martinez,sofia.martinez37@example.com,Consumer,In-Store,East,2024-02-26,35-44,False
38,MC000038,Wei,Anderson,wei.anderson38@example.com,Loyalty Member,Online,Central,2022-09-13,55-64,True
39,MC000039,Zara,Jones,zara.jones39@example.com,Consumer,Online,East,2025-02-13,35-44,False
40,MC000040,Mei,Kim,mei.kim40@example.com,Consumer,In-Store,West,2020-09-13,18-24,True
41,MC000041,Mary,Kim,mary.kim41@example.com,Loyalty Member,Mobile App,East,2025-10-14,65+,False
42,MC000042,Wei,Singh,wei.singh42@example.com,Consumer,In-Store,East,2024-06-24,65+,False
43,MC000043,Liam,Anderson,liam.anderson43@example.com,Consumer,In-Store,Central,2022-04-06,25-34,False
44,MC000044,Omar,Rodriguez,omar.rodriguez44@example.com,Corporate,Mobile App,West,2024-11-15,35-44,True
45,MC000045,Diego,Rodriguez,diego.rodriguez45@example.com,Loyalty Member,Mobile App,East,2020-12-10,65+,False
46,MC000046,John,Williams,john.williams46@example.com,Consumer,Online,East,2023-12-06,25-34,False
47,MC000047,Linda,Jackson,linda.jackson47@example.com,Consumer,In-Store,West,2019-12-07,18-24,False
48,MC000048,Ananya,Nguyen,ananya.nguyen48@example.com,Loyalty Member,Online,East,2019-05-19,35-44,False
49,MC000049,Ananya,Patel,ananya.patel49@example.com,Loyalty Member,Mobile App,Central,2025-06-08,25-34,False
50,MC000050,Elizabeth,Singh,elizabeth.singh50@example.com,Consumer,In-Store,East,2025-10-17,65+,False
51,MC000051,Jennifer,White,jennifer.white51@example.com,Consumer,In-Store,East,2023-10-21,25-34,False
52,MC000052,Omar,Jackson,omar.jackson52@example.com,Loyalty Member,Mobile App,East,2020-08-31,45-54,False
53,MC000053,David,Smith,david.smith53@example.com,Consumer,In-Store,East,2024-03-28,35-44,False
54,MC000054,Jennifer,Martinez,jennifer.martinez54@example.com,Loyalty Member,Mobile App,Central,2026-01-20,35-44,False
55,MC000055,Ethan,Singh,ethan.singh55@example.com,Loyalty Member,In-Store,West,2019-01-10,35-44,False
56,MC000056,Zara,Martinez,zara.martinez56@example.com,Consumer,In-Store,East,2024-12-05,65+,False
57,MC000057,Mary,Lee,mary.lee57@example.com,Consumer,In-Store,Central,2026-06-12,35-44,False
58,MC000058,Carlos,Thomas,carlos.thomas58@example.com,Loyalty Member,Online,East,2019-06-15,45-54,False
59,MC000059,Michael,Chen,michael.chen59@example.com,Consumer,In-Store,Central,2018-10-17,55-64,False
60,MC000060,Priya,Moore,priya.moore60@example.com,Consumer,In-Store,East,2026-06-28,65+,True
61,MC000061,Arjun,Nguyen,arjun.nguyen61@example.com,Loyalty Member,Online,West,2022-08-27,65+,False
62,MC000062,John,Wilson,john.wilson62@example.com,Consumer,Online,East,2026-06-11,35-44,False
63,MC000063,Mary,Jackson,mary.jackson63@example.com,Loyalty Member,Mobile App,Central,2021-04-19,65+,False
64,MC000064,Linda,Williams,linda.williams64@example.com,Consumer,In-Store,Central,2024-05-27,25-34,False
65,MC000065,Michael,Thomas,michael.thomas65@example.com,Consumer,Online,East,2023-02-04,45-54,False
66,MC000066,Mary,Anderson,mary.anderson66@example.com,Corporate,In-Store,East,2025-10-01,25-34,True
67,MC000067,Ethan,Johnson,ethan.johnson67@example.com,Consumer,Mobile App,Central,2025-01-10,35-44,False
68,MC000068,James,Garcia,james.garcia68@example.com,Consumer,Mobile App,West,2024-01-17,45-54,False
69,MC000069,Olivia,Martinez,olivia.martinez69@example.com,Loyalty Member,In-Store,East,2024-03-26,18-24,False
70,MC000070,Linda,Kim,linda.kim70@example.com,Loyalty Member,Mobile App,Central,2022-11-22,35-44,False
71,MC000071,Michael,Anderson,michael.anderson71@example.com,Consumer,In-Store,East,2025-04-25,65+,False
72,MC000072,John,Patel,john.patel72@example.com,Consumer,In-Store,East,2021-10-31,18-24,False
73,MC000073,James,Anderson,james.anderson73@example.com,Loyalty Member,Mobile App,West,2018-10-05,35-44,False
74,MC000074,Yuki,Martinez,yuki.martinez74@example.com,Corporate,Online,East,2020-04-01,65+,False
75,MC000075,Mei,Singh,mei.singh75@example.com,Consumer,In-Store,West,2020-04-15,55-64,True
76,MC000076,Patricia,Johnson,patricia.johnson76@example.com,Consumer,In-Store,West,2019-07-16,18-24,True
77,MC000077,Sofia,Perez,sofia.perez77@example.com,Loyalty Member,Online,East,2019-11-04,35-44,False
78,MC000078,Sofia,Garcia,sofia.garcia78@example.com,Corporate,Online,East,2019-08-21,25-34,False
79,MC000079,Michael,Williams,michael.williams79@example.com,Loyalty Member,Online,East,2018-07-26,35-44,False
80,MC000080,Yuki,Jackson,yuki.jackson80@example.com,Consumer,In-Store,East,2022-10-06,25-34,False
81,MC000081,Ethan,Singh,ethan.singh81@example.com,Consumer,Mobile App,East,2021-04-17,25-34,False
82,MC000082,David,Chen,david.chen82@example.com,Consumer,Online,East,2024-02-26,35-44,False
83,MC000083,Mary,Chen,mary.chen83@example.com,Consumer,Mobile App,West,2022-04-06,25-34,False
84,MC000084,John,Perez,john.perez84@example.com,Loyalty Member,Mobile App,East,2020-01-24,55-64,False
85,MC000085,Ethan,Patel,ethan.patel85@example.com,Corporate,Online,East,2019-05-16,25-34,False
86,MC000086,Ananya,Smith,ananya.smith86@example.com,Loyalty Member,In-Store,West,2026-06-01,65+,False
87,MC000087,Elizabeth,Taylor,elizabeth.taylor87@example.com,Loyalty Member,In-Store,West,2024-07-19,25-34,False
88,MC000088,Diego,White,diego.white88@example.com,Loyalty Member,Mobile App,West,2020-07-19,25-34,True
89,MC000089,Ananya,Miller,ananya.miller89@example.com,Corporate,Mobile App,West,2019-09-16,25-34,False
90,MC000090,Yuki,Lopez,yuki.lopez90@example.com,Consumer,Mobile App,West,2020-10-10,25-34,False
91,MC000091,Elizabeth,Williams,elizabeth.williams91@example.com,Loyalty Member,In-Store,West,2026-02-12,25-34,False
92,MC000092,Emma,Kim,emma.kim92@example.com,Consumer,In-Store,West,2023-03-05,25-34,False
93,MC000093,Arjun,Jones,arjun.jones93@example.com,Loyalty Member,Mobile App,West,2022-08-29,45-54,False
94,MC000094,Mei,Garcia,mei.garcia94@example.com,Consumer,In-Store,Central,2022-01-12,18-24,False
95,MC000095,Ava,Lopez,ava.lopez95@example.com,Consumer,Mobile App,West,2021-05-27,25-34,True
96,MC000096,Patricia,Jones,patricia.jones96@example.com,Consumer,In-Store,Central,2023-07-26,65+,False
97,MC000097,Liam,Anderson,liam.anderson97@example.com,Loyalty Member,Mobile App,Central,2018-06-22,35-44,False
98,MC000098,Sofia,Miller,sofia.miller98@example.com,Consumer,Online,West,2019-06-05,18-24,False
99,MC000099,Mary,Lopez,mary.lopez99@example.com,Loyalty Member,Online,East,2025-11-12,35-44,False
100,MC000100,Jennifer,Jones,jennifer.jones100@example.com,Consumer,In-Store,Central,2020-12-18,25-34,False
101,MC000101,Lucas,Brown,lucas.brown101@example.com,Corporate,Online,West,2018-12-12,35-44,False
102,MC000102,Zara,Wilson,zara.wilson102@example.com,Consumer,Online,West,2025-12-21,45-54,True
103,MC000103,Mary,Miller,mary.miller103@example.com,Corporate,Online,Central,2024-12-07,45-54,False
104,MC000104,Diego,Singh,diego.singh104@example.com,Consumer,In-Store,Central,2024-08-21,55-64,False
105,MC000105,Mary,Williams,mary.williams105@example.com,Consumer,Online,West,2020-09-29,45-54,False
106,MC000106,Michael,Miller,michael.miller106@example.com,Corporate,Mobile App,East,2020-06-18,25-34,True
107,MC000107,Zara,Lopez,zara.lopez107@example.com,Loyalty Member,Mobile App,West,2018-06-04,25-34,False
108,MC000108,Noah,Johnson,noah.johnson108@example.com,Loyalty Member,In-Store,East,2022-02-06,45-54,False
109,MC000109,Zara,Lopez,zara.lopez109@example.com,Corporate,In-Store,West,2025-07-18,35-44,False
110,MC000110,Isabella,Martinez,isabella.martinez110@example.com,Corporate,In-Store,East,2018-08-05,25-34,False
111,MC000111,Ethan,Moore,ethan.moore111@example.com,Consumer,In-Store,West,2023-10-03,35-44,False
112,MC000112,Ava,Davis,ava.davis112@example.com,Consumer,In-Store,East,2020-09-10,35-44,True
113,MC000113,Liam,Jackson,liam.jackson113@example.com,Consumer,In-Store,East,2025-12-19,55-64,False
114,MC000114,Olivia,White,olivia.white114@example.com,Loyalty Member,In-Store,West,2021-11-04,35-44,False
115,MC000115,Ethan,Chen,ethan.chen115@example.com,Loyalty Member,In-Store,Central,2025-06-09,18-24,False
116,MC000116,Emma,Smith,emma.smith116@example.com,Loyalty Member,In-Store,Central,2019-03-30,35-44,False
117,MC000117,Wei,Anderson,wei.anderson117@example.com,Consumer,Mobile App,Central,2020-05-25,65+,False
118,MC000118,Elizabeth,Chen,elizabeth.chen118@example.com,Consumer,Online,East,2018-12-27,65+,False
119,MC000119,Sofia,Davis,sofia.davis119@example.com,Consumer,In-Store,Central,2019-05-10,25-34,False
120,MC000120,Wei,Jones,wei.jones120@example.com,Consumer,Online,Central,2022-01-24,55-64,False
121,MC000121,Wei,Wilson,wei.wilson121@example.com,Consumer,Online,Central,2024-10-20,18-24,False
122,MC000122,Jennifer,Brown,jennifer.brown122@example.com,Loyalty Member,Mobile App,East,2020-10-04,45-54,False
123,MC000123,Sofia,Perez,sofia.perez123@example.com,Loyalty Member,In-Store,West,2026-06-12,35-44,False
124,MC000124,Robert,Wilson,robert.wilson124@example.com,Consumer,In-Store,Central,2024-12-30,35-44,False
125,MC000125,Olivia,Lee,olivia.lee125@example.com,Corporate,In-Store,East,2025-02-01,18-24,True
126,MC000126,Priya,Lopez,priya.lopez126@example.com,Corporate,In-Store,West,2022-01-29,25-34,False
127,MC000127,Yuki,Martinez,yuki.martinez127@example.com,Loyalty Member,Online,East,2026-06-04,65+,False
128,MC000128,Wei,Lopez,wei.lopez128@example.com,Consumer,Mobile App,West,2019-07-16,35-44,False
129,MC000129,Liam,Wilson,liam.wilson129@example.com,Loyalty Member,Online,East,2018-07-11,35-44,False
130,MC000130,Linda,Martinez,linda.martinez130@example.com,Consumer,In-Store,East,2024-02-08,55-64,False
131,MC000131,Zara,Jackson,zara.jackson131@example.com,Loyalty Member,In-Store,East,2025-03-04,45-54,False
132,MC000132,David,Chen,david.chen132@example.com,Loyalty Member,In-Store,West,2019-10-26,45-54,True
133,MC000133,Michael,Wilson,michael.wilson133@example.com,Consumer,Mobile App,East,2018-09-10,25-34,False
134,MC000134,Isabella,Johnson,isabella.johnson134@example.com,Consumer,In-Store,Central,2024-08-02,25-34,False
135,MC000135,Lucas,Lopez,lucas.lopez135@example.com,Loyalty Member,Mobile App,Central,2020-03-19,55-64,False
136,MC000136,David,Patel,david.patel136@example.com,Consumer,In-Store,Central,2022-06-02,35-44,False
137,MC000137,Isabella,Taylor,isabella.taylor137@example.com,Loyalty Member,In-Store,East,2023-01-19,25-34,False
138,MC000138,Wei,Johnson,wei.johnson138@example.com,Consumer,In-Store,East,2019-09-15,55-64,False
139,MC000139,David,Kim,david.kim139@example.com,Corporate,In-Store,East,2022-01-25,35-44,True
140,MC000140,Patricia,Rodriguez,patricia.rodriguez140@example.com,Consumer,In-Store,East,2023-01-16,35-44,False
141,MC000141,Ananya,Rodriguez,ananya.rodriguez141@example.com,Consumer,In-Store,East,2020-09-23,55-64,False
142,MC000142,Arjun,Brown,arjun.brown142@example.com,Consumer,Online,East,2021-06-11,25-34,False
143,MC000143,Carlos,Perez,carlos.perez143@example.com,Loyalty Member,In-Store,Central,2021-10-31,45-54,False
144,MC000144,Jennifer,Lee,jennifer.lee144@example.com,Loyalty Member,In-Store,East,2019-08-11,35-44,False
145,MC000145,Wei,Jackson,wei.jackson145@example.com,Loyalty Member,In-Store,East,2018-09-28,18-24,True
146,MC000146,Olivia,Davis,olivia.davis146@example.com,Loyalty Member,In-Store,West,2024-06-24,35-44,False
147,MC000147,Olivia,Jones,olivia.jones147@example.com,Consumer,Online,East,2019-09-12,25-34,True
148,MC000148,Lucas,Johnson,lucas.johnson148@example.com,Corporate,In-Store,Central,2026-05-02,25-34,False
149,MC000149,Lucas,Lee,lucas.lee149@example.com,Loyalty Member,Mobile App,East,2022-04-24,25-34,False
150,MC000150,Emma,Wilson,emma.wilson150@example.com,Loyalty Member,Online,West,2021-01-23,35-44,False
151,MC000151,Olivia,Thomas,olivia.thomas151@example.com,Consumer,In-Store,East,2018-11-19,25-34,False
152,MC000152,Wei,Miller,wei.miller152@example.com,Loyalty Member,Online,Central,2018-01-15,35-44,False
153,MC000153,Yuki,Thomas,yuki.thomas153@example.com,Loyalty Member,In-Store,West,2024-03-22,65+,False
154,MC000154,Linda,Martinez,linda.martinez154@example.com,Consumer,Mobile App,East,2025-01-22,35-44,False
155,MC000155,Zara,Miller,zara.miller155@example.com,Loyalty Member,In-Store,West,2021-02-27,25-34,False
156,MC000156,Omar,Rodriguez,omar.rodriguez156@example.com,Consumer,In-Store,East,2022-10-03,35-44,False
157,MC000157,Liam,Brown,liam.brown157@example.com,Loyalty Member,In-Store,West,2022-06-27,18-24,False
158,MC000158,Sofia,Chen,sofia.chen158@example.com,Consumer,In-Store,East,2025-05-18,65+,False
159,MC000159,Fatima,Singh,fatima.singh159@example.com,Corporate,In-Store,West,2025-08-28,45-54,False
160,MC000160,Patricia,Kim,patricia.kim160@example.com,Consumer,Online,West,2019-11-10,18-24,False
161,MC000161,Michael,Lee,michael.lee161@example.com,Consumer,Mobile App,West,2026-05-02,35-44,False
162,MC000162,James,Perez,james.perez162@example.com,Loyalty Member,In-Store,West,2026-02-07,45-54,False
163,MC000163,James,Moore,james.moore163@example.com,Corporate,Mobile App,East,2026-02-05,45-54,False
164,MC000164,Liam,Moore,liam.moore164@example.com,Consumer,Mobile App,West,2021-07-17,18-24,False
165,MC000165,Arjun,Patel,arjun.patel165@example.com,Consumer,In-Store,West,2022-09-21,45-54,False
166,MC000166,John,Patel,john.patel166@example.com,Loyalty Member,In-Store,Central,2023-04-15,45-54,False
167,MC000167,Ethan,Jones,ethan.jones167@example.com,Loyalty Member,Mobile App,East,2019-03-22,55-64,False
168,MC000168,David,Jackson,david.jackson168@example.com,Consumer,Mobile App,East,2018-03-28,55-64,False
169,MC000169,Mei,Kim,mei.kim169@example.com,Loyalty Member,Online,West,2019-10-22,18-24,False
170,MC000170,Mei,Thomas,mei.thomas170@example.com,Loyalty Member,In-Store,West,2023-12-17,25-34,False
171,MC000171,Mary,Miller,mary.miller171@example.com,Loyalty Member,In-Store,Central,2024-06-04,45-54,False
172,MC000172,Lucas,Singh,lucas.singh172@example.com,Corporate,Online,West,2023-06-08,35-44,False
173,MC000173,Ananya,Kim,ananya.kim173@example.com,Consumer,Online,West,2019-03-03,65+,False
174,MC000174,Liam,Moore,liam.moore174@example.com,Corporate,In-Store,West,2025-09-08,18-24,True
175,MC000175,Jennifer,Kim,jennifer.kim175@example.com,Corporate,Online,East,2025-04-24,65+,False
176,MC000176,Priya,Taylor,priya.taylor176@example.com,Consumer,In-Store,East,2019-08-04,55-64,False
177,MC000177,Linda,Davis,linda.davis177@example.com,Loyalty Member,Online,East,2018-01-21,18-24,False
178,MC000178,Isabella,Miller,isabella.miller178@example.com,Consumer,In-Store,West,2018-01-04,55-64,False
179,MC000179,Isabella,Davis,isabella.davis179@example.com,Consumer,In-Store,Central,2025-07-15,18-24,False
180,MC000180,James,Lopez,james.lopez180@example.com,Corporate,In-Store,West,2019-03-02,25-34,False
181,MC000181,Jennifer,Taylor,jennifer.taylor181@example.com,Consumer,In-Store,East,2023-09-29,55-64,True
182,MC000182,James,Williams,james.williams182@example.com,Loyalty Member,In-Store,East,2018-05-02,25-34,False
183,MC000183,Olivia,Anderson,olivia.anderson183@example.com,Consumer,In-Store,Central,2024-11-24,18-24,False
184,MC000184,Michael,Smith,michael.smith184@example.com,Loyalty Member,In-Store,West,2020-02-07,25-34,False
185,MC000185,Mei,Miller,mei.miller185@example.com,Loyalty Member,In-Store,East,2025-07-14,25-34,False
186,MC000186,Ananya,Jackson,ananya.jackson186@example.com,Consumer,Online,West,2019-01-21,25-34,False
187,MC000187,Elizabeth,Martinez,elizabeth.martinez187@example.com,Consumer,In-Store,East,2021-04-26,45-54,False
188,MC000188,James,Williams,james.williams188@example.com,Consumer,In-Store,East,2018-11-04,35-44,False
189,MC000189,Yuki,Nguyen,yuki.nguyen189@example.com,Loyalty Member,Online,East,2024-11-07,25-34,True
190,MC000190,Ethan,Johnson,ethan.johnson190@example.com,Corporate,In-Store,East,2026-01-14,25-34,False
191,MC000191,Fatima,Johnson,fatima.johnson191@example.com,Loyalty Member,Mobile App,Central,2020-01-07,35-44,False
192,MC000192,David,Martinez,david.martinez192@example.com,Consumer,Mobile App,Central,2021-11-28,25-34,False
193,MC000193,Jennifer,Moore,jennifer.moore193@example.com,Loyalty Member,Mobile App,Central,2025-05-10,35-44,False
194,MC000194,Sofia,Smith,sofia.smith194@example.com,Consumer,Mobile App,Central,2021-10-27,18-24,False
195,MC000195,Diego,Davis,diego.davis195@example.com,Consumer,Online,West,2021-11-04,18-24,False
196,MC000196,Wei,Nguyen,wei.nguyen196@example.com,Consumer,Mobile App,West,2025-01-12,25-34,True
197,MC000197,Jennifer,Miller,jennifer.miller197@example.com,Consumer,Online,Central,2023-12-15,25-34,False
198,MC000198,Michael,Martinez,michael.martinez198@example.com,Consumer,Mobile App,Central,2026-06-20,25-34,True
199,MC000199,Jennifer,Taylor,jennifer.taylor199@example.com,Loyalty Member,Online,East,2022-11-30,35-44,False
200,MC000200,Linda,Chen,linda.chen200@example.com,Consumer,In-Store,East,2020-11-19,35-44,False
201,MC000201,Emma,Moore,emma.moore201@example.com,Corporate,Online,East,2025-03-19,25-34,False
202,MC000202,Arjun,Kim,arjun.kim202@example.com,Consumer,In-Store,East,2021-05-29,25-34,False
203,MC000203,Robert,Patel,robert.patel203@example.com,Consumer,In-Store,East,2018-11-02,65+,False
204,MC000204,Omar,Lee,omar.lee204@example.com,Loyalty Member,Online,West,2021-01-25,35-44,False
205,MC000205,Fatima,Lee,fatima.lee205@example.com,Consumer,In-Store,East,2025-09-25,25-34,True
206,MC000206,Yuki,Chen,yuki.chen206@example.com,Consumer,In-Store,Central,2021-08-14,35-44,False
207,MC000207,Michael,Patel,michael.patel207@example.com,Consumer,Mobile App,East,2025-07-10,18-24,False
208,MC000208,Robert,Williams,robert.williams208@example.com,Corporate,Mobile App,East,2019-10-10,35-44,False
209,MC000209,John,Lopez,john.lopez209@example.com,Consumer,In-Store,Central,2019-02-02,25-34,False
210,MC000210,Linda,Johnson,linda.johnson210@example.com,Consumer,In-Store,Central,2018-09-23,25-34,True
211,MC000211,Ananya,Patel,ananya.patel211@example.com,Corporate,Online,West,2024-01-30,45-54,False
212,MC000212,David,Patel,david.patel212@example.com,Consumer,In-Store,West,2022-02-09,25-34,False
213,MC000213,Carlos,White,carlos.white213@example.com,Consumer,Online,West,2018-05-04,55-64,True
214,MC000214,Linda,Moore,linda.moore214@example.com,Consumer,In-Store,West,2023-04-17,25-34,False
215,MC000215,Ethan,Patel,ethan.patel215@example.com,Consumer,In-Store,Central,2020-08-19,65+,False
216,MC000216,Patricia,Singh,patricia.singh216@example.com,Corporate,In-Store,West,2024-03-24,55-64,False
217,MC000217,Priya,Garcia,priya.garcia217@example.com,Loyalty Member,In-Store,West,2020-08-03,25-34,False
218,MC000218,David,Patel,david.patel218@example.com,Loyalty Member,Online,Central,2022-12-24,18-24,False
219,MC000219,Linda,Lopez,linda.lopez219@example.com,Consumer,In-Store,West,2026-05-07,18-24,True
220,MC000220,Omar,Johnson,omar.johnson220@example.com,Loyalty Member,Online,East,2020-09-08,45-54,False
221,MC000221,Robert,Lopez,robert.lopez221@example.com,Loyalty Member,In-Store,East,2020-12-22,25-34,False
222,MC000222,Yuki,Moore,yuki.moore222@example.com,Consumer,Online,Central,2021-07-25,45-54,False
223,MC000223,Arjun,Lopez,arjun.lopez223@example.com,Consumer,Online,East,2023-05-27,18-24,False
224,MC000224,Zara,Wilson,zara.wilson224@example.com,Corporate,In-Store,East,2018-04-11,18-24,False
225,MC000225,Linda,White,linda.white225@example.com,Corporate,Online,East,2023-08-06,45-54,False
226,MC000226,Zara,Chen,zara.chen226@example.com,Consumer,Mobile App,East,2026-04-21,25-34,False
227,MC000227,James,Taylor,james.taylor227@example.com,Corporate,In-Store,Central,2023-02-21,35-44,True
228,MC000228,Elizabeth,Singh,elizabeth.singh228@example.com,Consumer,Mobile App,East,2019-07-30,45-54,False
229,MC000229,Robert,Kim,robert.kim229@example.com,Corporate,Online,West,2018-04-13,45-54,True
230,MC000230,Linda,Williams,linda.williams230@example.com,Consumer,In-Store,East,2023-05-09,35-44,False
231,MC000231,Michael,Miller,michael.miller231@example.com,Consumer,Mobile App,Central,2023-04-11,35-44,False
232,MC000232,Diego,Chen,diego.chen232@example.com,Loyalty Member,Online,Central,2018-05-11,55-64,False
233,MC000233,James,Thomas,james.thomas233@example.com,Consumer,Online,West,2022-03-12,25-34,False
234,MC000234,David,Taylor,david.taylor234@example.com,Loyalty Member,In-Store,West,2023-02-04,35-44,False
235,MC000235,Patricia,Rodriguez,patricia.rodriguez235@example.com,Consumer,Online,East,2022-09-01,25-34,False
236,MC000236,Lucas,White,lucas.white236@example.com,Consumer,Online,Central,2018-08-22,25-34,False
237,MC000237,Ethan,Singh,ethan.singh237@example.com,Consumer,Online,West,2022-08-02,35-44,True
238,MC000238,Arjun,Nguyen,arjun.nguyen238@example.com,Consumer,In-Store,West,2019-01-24,18-24,True
239,MC000239,Robert,Martinez,robert.martinez239@example.com,Consumer,Online,Central,2026-06-14,25-34,False
240,MC000240,Ava,Martinez,ava.martinez240@example.com,Corporate,In-Store,Central,2025-06-09,35-44,False
241,MC000241,Omar,Thomas,omar.thomas241@example.com,Consumer,Online,Central,2025-08-16,25-34,False
242,MC000242,David,Thomas,david.thomas242@example.com,Consumer,Mobile App,East,2022-04-14,35-44,False
243,MC000243,Omar,Rodriguez,omar.rodriguez243@example.com,Consumer,In-Store,East,2025-08-06,65+,False
244,MC000244,Wei,Smith,wei.smith244@example.com,Loyalty Member,Mobile App,East,2022-12-28,25-34,False
245,MC000245,Wei,Davis,wei.davis245@example.com,Consumer,Online,East,2022-10-30,55-64,False
246,MC000246,John,Perez,john.perez246@example.com,Consumer,Mobile App,Central,2020-08-10,65+,False
247,MC000247,John,Davis,john.davis247@example.com,Consumer,Mobile App,West,2025-03-05,18-24,False
248,MC000248,Lucas,Kim,lucas.kim248@example.com,Loyalty Member,In-Store,Central,2024-11-28,65+,True
249,MC000249,Liam,Anderson,liam.anderson249@example.com,Consumer,In-Store,Central,2021-12-27,25-34,False
250,MC000250,Arjun,Smith,arjun.smith250@example.com,Corporate,Online,Central,2025-08-02,45-54,False
251,MC000251,Noah,White,noah.white251@example.com,Loyalty Member,Online,East,2021-04-11,35-44,False
252,MC000252,Diego,Miller,diego.miller252@example.com,Consumer,Mobile App,West,2022-02-21,25-34,False
253,MC000253,Ava,Jackson,ava.jackson253@example.com,Consumer,Online,West,2024-08-08,55-64,False
254,MC000254,David,Smith,david.smith254@example.com,Consumer,Online,West,2018-10-14,35-44,False
255,MC000255,Linda,Garcia,linda.garcia255@example.com,Corporate,Online,West,2020-12-21,18-24,False
256,MC000256,Isabella,Williams,isabella.williams256@example.com,Consumer,In-Store,Central,2020-03-23,25-34,False
257,MC000257,Wei,Martinez,wei.martinez257@example.com,Corporate,In-Store,Central,2022-09-06,45-54,False
258,MC000258,Robert,Rodriguez,robert.rodriguez258@example.com,Consumer,In-Store,West,2019-10-28,18-24,False
259,MC000259,David,Jones,david.jones259@example.com,Consumer,Mobile App,East,2026-03-05,65+,False
260,MC000260,Emma,Anderson,emma.anderson260@example.com,Consumer,In-Store,Central,2018-07-29,35-44,False
